"filename", "language", "C", "comment", "blank", "total"
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_all_images.c", "C", 8, 11, 3, 22
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_creditscreen.c", "C", 13, 11, 3, 27
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_loadingscreen.c", "C", 34, 11, 6, 51
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_map.c", "C", 11, 11, 4, 26
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_optionscreen.c", "C", 34, 11, 6, 51
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_player.c", "C", 5, 11, 3, 19
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_startscreen.c", "C", 34, 11, 6, 51
"/Users/mheinke/Desktop/so_long/sources/cleanup/free_structs.c", "C", 10, 11, 3, 24
"/Users/mheinke/Desktop/so_long/sources/init/init_creditscreen.c", "C", 53, 11, 10, 74
"/Users/mheinke/Desktop/so_long/sources/init/init_game.c", "C", 30, 11, 5, 46
"/Users/mheinke/Desktop/so_long/sources/init/init_loadingscreen.c", "C", 59, 11, 9, 79
"/Users/mheinke/Desktop/so_long/sources/init/init_optionscreen.c", "C", 79, 11, 9, 99
"/Users/mheinke/Desktop/so_long/sources/init/init_optionscreen_buttons.c", "C", 36, 11, 7, 54
